GalaxyID, Type, log10Mgcs, elog10Mgcs, log10Mstar, elog10Mstar, Ngc, Sample
AndI, -4.9, 3.57, 0.2, 6.81, 0.2, 1, Local Group Sample
EriII, -3, 3.6, 0.2, 4.85, 0.2, 1, Local Group Sample
Aquarius, 9.9, 4.16, 0.2, 6.37, 0.2, 1, Local Group Sample
AndXXV, -3, 4.18, 0.2, 6.01, 0.2, 1, Local Group Sample
PegdIrr, 9.8, 5.06, 0.2, 7.01, 0.2, 1, Local Group Sample
SMC, 8.9, 5.51, 0.2, 8.65, 0.2, 1, Local Group Sample
WLM, 9.9, 5.7, 0.2, 7.81, 0.2, 1, Local Group Sample
IC10, 9.9, 5.74, 0.2, 8.13, 0.2, 1, Local Group Sample
NGC185, -4.8, 5.83, 0.2, 8.05, 0.2, 8, Local Group Sample
Fornax, -4.8, 5.86, 0.2, 7.49, 0.2, 5, Local Group Sample
NGC6822, 9.8, 6.1, 0.2, 8.21, 0.2, 8, Local Group Sample
NGC147, -4.7, 6.11, 0.2, 7.97, 0.2, 10, Local Group Sample
NGC205, -4.8, 6.15, 0.2, 8.73, 0.2, 11, Local Group Sample
GaiaEnc, -3, 6.15, 0.2, 7.89, 0.2, 11, Local Group Sample
Sgr, -3, 6.44, 0.2, 7.53, 0.2, 8, Local Group Sample
LMC, 9.1, 6.52, 0.2, 9.17, 0.2, 16, Local Group Sample
M33, 5.9, 6.7, 0.2, 9.53, 0.2, 50, Local Group Sample
MilkyWay, 4, 7.2, 0.2, 10.72, 0.2, 160, Local Group Sample
M31, 3, 7.65, 0.2, 10.92, 0.2, 450, Local Group Sample
UrsaMinor, -4.9, 0, 0.2, 5.74, 0.2, 0, Local Group Sample
Virgo Cluster SurveyI, -3, 0, 0.2, 2.33, 0.2, 0, Local Group Sample
Willman1, -3, 0, 0.2, 3.17, 0.2, 0, Local Group Sample
AndVII, -4, 0, 0.2, 7.17, 0.2, 0, Local Group Sample
AndX, -3, 0, 0.2, 5.17, 0.2, 0, Local Group Sample
AndXI, -3, 0, 0.2, 4.89, 0.2, 0, Local Group Sample
AndXII, -3, 0, 0.2, 4.69, 0.2, 0, Local Group Sample
AndXIII, -3, 0, 0.2, 4.81, 0.2, 0, Local Group Sample
AndXIV, -3, 0, 0.2, 5.49, 0.2, 0, Local Group Sample
AndXIX, -3, 0, 0.2, 5.81, 0.2, 0, Local Group Sample
AndXV, -3, 0, 0.2, 5.89, 0.2, 0, Local Group Sample
AndXVI, -3, 0, 0.2, 5.81, 0.2, 0, Local Group Sample
AndXVII, -3, 0, 0.2, 5.61, 0.2, 0, Local Group Sample
AndXVIII, -3, 0, 0.2, 6.01, 0.2, 0, Local Group Sample
AndXX, -3, 0, 0.2, 4.65, 0.2, 0, Local Group Sample
AndXXI, -3, 0, 0.2, 6.09, 0.2, 0, Local Group Sample
AndXXII, -3, 0, 0.2, 4.73, 0.2, 0, Local Group Sample
AndXXIII, -3, 0, 0.2, 6.21, 0.2, 0, Local Group Sample
AndXXIV, -3, 0, 0.2, 5.17, 0.2, 0, Local Group Sample
AndXXIX, -3, 0, 0.2, 5.45, 0.2, 0, Local Group Sample
AndXXVI, -3, 0, 0.2, 4.97, 0.2, 0, Local Group Sample
AndXXVII, -3, 0, 0.2, 5.29, 0.2, 0, Local Group Sample
AndXXVIII, -3, 0, 0.2, 5.53, 0.2, 0, Local Group Sample
AntliaII, -3, 0, 0.2, 5.62, 0.2, 0, Local Group Sample
AquariusII, -3, 0, 0.2, 3.76, 0.2, 0, Local Group Sample
BootesI, -3, 0, 0.2, 4.42, 0.2, 0, Local Group Sample
BootesII, -3, 0, 0.2, 3.19, 0.2, 0, Local Group Sample
BootesIII, -3, 0, 0.2, 4.31, 0.2, 0, Local Group Sample
BootesIV, -3, 0, 0.2, 3.82, 0.2, 0, Local Group Sample
Carina, -4.8, 0, 0.2, 5.9, 0.2, 0, Local Group Sample
CarinaII, -3, 0, 0.2, 3.81, 0.2, 0, Local Group Sample
CarinaIII, -3, 0, 0.2, 2.97, 0.2, 0, Local Group Sample
CentaurusI, -3, 0, 0.2, 4.23, 0.2, 0, Local Group Sample
Cetus, 10, 0, 0.2, 6.61, 0.2, 0, Local Group Sample
CetusII, -3, 0, 0.2, 2, 0.2, 0, Local Group Sample
CetusIII, -3, 0, 0.2, 2.99, 0.2, 0, Local Group Sample
ColumbaI, -3, 0, 0.2, 3.79, 0.2, 0, Local Group Sample
ComaBer, -3, 0, 0.2, 3.88, 0.2, 0, Local Group Sample
CraterII, -3, 0, 0.2, 5.29, 0.2, 0, Local Group Sample
CVnI, -3, 0, 0.2, 5.5, 0.2, 0, Local Group Sample
CVnII, -3, 0, 0.2, 4.08, 0.2, 0, Local Group Sample
Draco, -4.8, 0, 0.2, 5.65, 0.2, 0, Local Group Sample
GrusI, -3, 0, 0.2, 3.4, 0.2, 0, Local Group Sample
GrusII, -3, 0, 0.2, 3.57, 0.2, 0, Local Group Sample
Hercules, -3, 0, 0.2, 4.34, 0.2, 0, Local Group Sample
HorologiumI, -3, 0, 0.2, 3.52, 0.2, 0, Local Group Sample
AndII, 10, 0, 0.2, 7.09, 0.2, 0, Local Group Sample
HorologiumII, -3, 0, 0.2, 2.64, 0.2, 0, Local Group Sample
HydraII, -3, 0, 0.2, 3.96, 0.2, 0, Local Group Sample
HydrusI, -3, 0, 0.2, 3.9, 0.2, 0, Local Group Sample
IC1613, 9.9, 0, 0.2, 8.21, 0.2, 0, Local Group Sample
LeoA, 9.9, 0, 0.2, 6.97, 0.2, 0, Local Group Sample
LeoI, -4.7, 0, 0.2, 6.84, 0.2, 0, Local Group Sample
LeoII, 4.8, 0, 0.2, 6.03, 0.2, 0, Local Group Sample
LeoIV, -3, 0, 0.2, 4.01, 0.2, 0, Local Group Sample
AndIII, 10, 0, 0.2, 6.13, 0.2, 0, Local Group Sample
LeoV, -3, 0, 0.2, 3.73, 0.2, 0, Local Group Sample
LeoT, 0, 0, 0.2, 5.21, 0.2, 0, Local Group Sample
Local Group SampleS3, -1, 0, 0.2, 6.17, 0.2, 0, Local Group Sample
AndIX, -3, 0, 0.2, 5.37, 0.2, 0, Local Group Sample
PegasusIII, -3, 0, 0.2, 3.65, 0.2, 0, Local Group Sample
Phoenix, 9.5, 0, 0.2, 6.09, 0.2, 0, Local Group Sample
