Re  n  average_num_mergers  average_highest_mass  median_num_mergers  median_highest_mass  standard_dev_number standrad_dev_mass 
0.1 0.3 28.9 58.784076158964275 28.0 57.20007347314454 4.742362280551751 4.0169815496570385
0.3 0.3 19.9 52.930892318167615 20.0 53.78202700272286 2.7730849247724096 2.300221098947383
0.5 0.3 17.4 45.60457213235103 17.5 44.94814734142097 3.4698703145794947 4.441128069114781
0.7 0.3 10.2 43.91440146048132 10.0 42.801817845379574 2.85657137141714 6.9137545719961535
0.9 0.3 6.3 30.67977767363785 7.0 33.33618490729362 1.7349351572897473 5.732337993349556
1.1 0.3 6.9 28.869451884217312 7.0 27.633210574308578 1.1357816691600546 5.68117664150078
1.3 0.3 4.2 24.759190299391623 4.0 26.61648497193059 1.4000000000000001 8.395726773790015
1.5 0.3 3.3 21.890090391114853 3.5 21.706415990997883 1.8466185312619388 9.642995355068225
1.7 0.3 2.0 20.615175715706634 2.0 20.421619259424638 1.0 9.742407207354553
1.9 0.3 2.2 21.14618075238649 2.0 19.20166484520873 0.7483314773547882 7.9899375890930475
2.1 0.3 0.9 13.4144934137739 0.5 11.351493442306934 1.044030650891055 8.598857453116345
0.1 0.5 28.6 57.827616789182 27.5 57.73524000703665 5.96992462263972 2.386168232284971
0.3 0.5 22.5 53.283119496330286 22.5 52.68120535566486 4.738143096192854 3.387145791986413
0.5 0.5 15.8 46.43112801224787 14.5 46.48576831012283 4.686149805543993 2.887385597449124
0.7 0.5 10.7 38.37777452520025 11.0 38.72007372016596 2.238302928559939 5.301031251865355
0.9 0.5 7.9 35.10369732588016 8.0 37.48511217060121 2.6999999999999997 8.8017514246737
1.1 0.5 7.1 30.29937035625205 6.5 28.630304457291842 3.5341194094144583 6.718135626810281
1.3 0.5 4.5 27.16622207619262 4.5 27.197032512431537 1.5652475842498528 11.09603416349821
1.5 0.5 3.4 19.414498694602706 3.5 20.77466587542648 1.2 4.6846095227611855
1.7 0.5 2.6 23.45973902813709 2.5 25.54338468233886 1.624807680927192 9.04860935275793
1.9 0.5 2.1 17.495560707817365 1.5 14.503673387316812 1.2206555615733703 7.777185281259396
2.1 0.5 1.6 16.798669374336423 1.0 13.427671495071847 1.42828568570857 9.181076630352354
2.3 0.5 0.9 14.295285458552252 1.0 12.334422317220348 0.7000000000000001 6.329274787972299
0.1 0.7 30.7 57.24044356897948 31.5 57.4064851506125 4.879549159502341 2.6914983285499514
0.3 0.7 21.5 51.86889130748834 21.0 51.16460651637654 4.080441152620633 2.6791699222930068
0.5 0.7 12.6 42.631031438679585 13.0 44.366487766553604 3.5270384177096794 6.118619154748825
0.7 0.7 10.3 36.257065176865964 10.0 35.40397644759152 2.282542442102666 5.668338950633158
0.9 0.7 9.2 34.620486205269174 9.5 35.34309096704823 2.0880613017821097 3.7645963489499237
1.1 0.7 6.6 30.771854676612957 7.0 30.830555755779073 2.0591260281974 3.6201450393394037
1.3 0.7 3.6 23.936821890547247 3.0 25.259747311462082 2.154065922853802 6.969600004119602
1.5 0.7 3.5 25.30284035687366 3.5 23.193321926445 1.9621416870348585 10.103380703367923
1.7 0.7 2.0 16.846058340082088 2.5 15.197417116244814 1.0954451150103321 6.599833788645738
1.9 0.7 1.8 19.635129364324246 2.0 20.614610252278155 1.16619037896906 7.826010646722143
2.1 0.7 0.8 13.623394842528409 1.0 12.145184729722873 0.7483314773547882 6.251024620873677
2.3 0.7 0.7 10.22742353540225 0.5 7.926161981383012 0.7810249675906655 4.4540779614222785
2.5 0.7 1.0 14.895726605383995 1.0 12.90537793938849 1.1832159566199232 8.975617595776484
0.1 0.9 28.5 58.58597478459679 29.0 57.55114685749923 6.08687111741328 4.602817918188709
0.3 0.9 18.0 49.77113161898035 18.5 49.42923329120321 4.312771730569565 4.778289272506088
0.5 0.9 13.0 42.71610327421659 13.0 42.77392249189844 2.0976176963403033 6.280660378238048
0.7 0.9 9.7 37.58528804436101 10.0 38.072600075625736 3.8223029707232783 7.227911356246417
0.9 0.9 7.2 37.293751953312416 8.0 35.8731846554969 1.7776388834631176 9.66343469313543
1.1 0.9 5.2 27.863239495228175 4.5 27.487650641522926 2.891366458960192 9.632955235345456
