Name, Stellar Mass, Total GC Mass
E154-023,19.99,0.53
IC1959,14.17,18.37
KK16,0.52,0.23
KK17,0.1,0.27
KK27,0.07,3.83
N1311,11.17,17.76
N784,84.65,8.3
U1281,12.67,5.51
U3755,9.28,15.12
U3974,7.93,29.15
U4115,8.52,4.7
U685,3.22,12.13
U8760,1.08,0.45
DDO52,6.38,1.47
E059-01,5.08,8.59
E121-20,0.98,1.8
E223-09,22.67,26.25
E269-58,30.1,6.83
E349-031,0.3,0.92
E381-20,5.4,1.06
E384-016,1.8,1.42
KK197,0.96,1.18
KK246,0.97,2.93
KKH77,3.98,4.12
N4163,1.92,7.3
N5237,15.53,4.31
U8638,1.63,31.08
UA86,16.58,74.53
UA92,4.48,3.56
KKS55,0.17,0.84
E269-66,3.01,3.45
U7369,17.2,59.9
E137-18,68.04,11.67
E274-01,151.15,11.75
N247,232.54,1.92
N4605,172.97,14.33
