Re  n  average_num_mergers  average_highest_mass  median_num_mergers  median_highest_mass  standard_dev_number standrad_dev_mass 
0.1 0.1 28.6 53.029961918193194 26.5 55.40089512078475 10.974515934655159 5.098731404530312
0.6 0.1 1.7 13.420737253806276 1.0 10.987856908092088 1.9519221295943134 5.954137432935324
1.1 0.1 0.0 10.903218034702174 0.0 10.214874203324474 0.0 4.280535569751454
1.6 0.1 0.0 10.603221820631433 0.0 8.079158540526649 0.0 6.295895463444098
2.1 0.1 0.0 11.288532468394411 0.0 10.02398658478927 0.0 4.6137151828993925
0.1 0.5 17.7 41.567499440371016 18.5 40.6887034525913 4.920365840057018 7.822683633149005
0.6 0.5 0.1 8.130704752246956 0.0 6.68135119824311 0.30000000000000004 4.0043426299459774
1.1 0.5 0.0 8.395662599965968 0.0 7.03089952027545 0.0 3.632573691697364
1.6 0.5 0.0 13.276639250887794 0.0 10.41514808485427 0.0 9.084821383802584
2.1 0.5 0.0 10.284430246232093 0.0 7.25644663862156 0.0 7.466048034036401
0.1 1 16.6 36.30799402646234 18.0 36.96290434970997 6.135144660071187 7.919695657944467
0.6 1 0.4 10.049597844801008 0.0 9.020864445368954 0.66332495807108 3.9486995035520596
1.1 1 0.0 9.399021511536283 0.0 7.969974851951555 0.0 5.078786025351169
1.6 1 0.0 12.609776251544004 0.0 9.980746923626445 0.0 10.233315040345422
2.1 1 0.0 10.348990301430899 0.0 6.780942386685676 0.0 9.993655509854912
0.1 1.5 12.6 32.42129090742236 14.5 35.845672667387724 6.770524351924302 8.623081579348039
0.6 1.5 0.6 10.791505126046006 0.0 9.488574910383758 0.9165151389911681 4.996876019245484
1.1 1.5 0.0 8.88488345899167 0.0 6.758715859159374 0.0 6.52279961351442
1.6 1.5 0.0 11.843568570978414 0.0 10.351730634255292 0.0 6.9018994700585905
2.1 1.5 0.0 10.122983586644107 0.0 8.150599715421215 0.0 6.4340774038160236
0.1 2.5 17.1 35.75809464160252 17.0 35.83094096198447 4.39203825119955 7.616444037854465
0.6 2.5 0.2 8.75672053003219 0.0 7.4001491866612215 0.4000000000000001 4.092483985932695
1.1 2.5 0.2 8.207339015206152 0.0 7.851753712840535 0.6000000000000001 2.162333814391097
1.6 2.5 0.0 9.198199193122694 0.0 8.075800112406984 0.0 4.42186785502087
2.1 2.5 0.0 10.704363397561956 0.0 9.236788833127264 0.0 5.8767148051627975
0.1 3 13.6 30.93070254766325 14.5 33.731033211208896 6.636264009214823 8.448770450191857
0.6 3 0.7 13.492600666478072 0.0 9.94888270958069 1.1874342087037917 7.807489701847815
1.1 3 0.1 9.10042158914101 0.0 9.359748361992011 0.30000000000000004 1.864335603318123
1.6 3 0.0 8.573209170759988 0.0 6.978218832940808 0.0 3.391434121175057
2.1 3 0.0 12.762457870415641 0.0 9.720509578841382 0.0 7.336647547335506
0.1 3.5 17.5 29.66224354684588 18.0 32.91860603283996 5.371219600798314 5.818128279261832
0.6 3.5 0.6 8.37033894312792 0.0 7.652170262138016 0.9165151389911681 2.024051469969398
1.1 3.5 0.1 7.462993360613943 0.0 7.22998694244624 0.30000000000000004 2.5008150169470094
1.6 3.5 0.0 13.80854110567068 0.0 13.841419042423679 0.0 4.869238771103873
2.1 3.5 0.0 9.727747730305548 0.0 8.120024528102459 0.0 5.345962918776123
0.1 4 17.6 32.489135735211946 16.5 33.31881956646893 8.380930735902785 7.963473186531808
0.6 4 0.8 12.015738248283629 0.0 11.446183051851882 1.077032961426901 5.765705236995759
1.1 4 0.2 8.781836962913626 0.0 8.375190546528316 0.4000000000000001 2.7686809368772565
1.6 4 0.0 8.418584795978658 0.0 7.636586717009298 0.0 2.7075021300629056
2.1 4 0.1 11.717823448695807 0.0 6.542090633778969 0.30000000000000004 11.832135647713953
0.1 4.5 15.9 31.713784662623773 15.0 34.07336240387575 5.262128846769148 12.572450292174484
0.6 4.5 1.4 11.087399379658681 1.0 9.89587540517482 2.289104628451919 5.2164681544814595
1.1 4.5 0.5 11.522999263718663 0.0 10.997629399300372 0.9219544457292888 3.656229074811653
1.6 4.5 0.0 11.12919306793979 0.0 9.877672242272332 0.0 7.0635004778173345
2.1 4.5 0.0 9.75337315961529 0.0 8.733030050500878 0.0 4.786563940752382
0.1 5 17.8 30.278078688273943 18.5 31.196899997977383 6.867313885355759 8.591280104263024
0.6 5 1.2 9.06596836248748 1.0 8.573380226317 0.7483314773547883 3.903611831185116
1.1 5 0.6 11.353713901905357 0.0 9.574018848895722 1.2 6.0850980940302275
1.6 5 0.4 11.025507561991608 0.0 8.809423871390967 0.66332495807108 7.322373741458727
2.1 5 0.1 9.71862132887003 0.0 6.721851419473058 0.30000000000000004 5.763573508960496
